Departement;Ville;Population;Region;
01;Bourg-en-Bresse;43454;84;
02;Laon;26031;32;
02;Saint-Quentin;55940;32;
02;Soissons;29417;32;
03;Montluçon;37417;84;
05;Gap;42567;93;
06;Antibes;74982;93;
06;Cagnes-sur-Mer;50385;93;
06;Cannes;75046;93;
06;Le Cannet;42056;93;
06;Grasse;51705;93;
06;Menton;28942;93;
06;Nice;345998;93;
06;Saint-Laurent-du-Var;28831;93;
06;Vallauris;26787;93;
08;Charleville-Mézières;48420;44;
10;Troyes;61988;44;
11;Carcassonne;47418;76;
11;Narbonne;55001;76;
12;Rodez;25747;76;
13;Aix-en-Provence;146385;93;
13;Arles;53807;93;
13;Aubagne;45711;93;
13;La Ciotat;35758;93;
13;Istres;44248;93;
13;Marignane;33949;93;
13;Marseille;870018;93;
13;Martigues;49310;93;
13;Miramas;26217;93;
13;Salon-de-Provence;46225;93;
13;Vitrolles;34301;93;
14;Caen;108461;28;
15;Aurillac;27659;84;
16;Angoulême;44629;75;
17;La Rochelle;78623;75;
17;Saintes;26890;75;
18;Bourges;67841;24;
18;Vierzon;27036;24;
19;Brive-la-Gaillarde;48333;75;
2A;Ajaccio;70063;94;
2B;Bastia;45596;94;
21;Dijon;159031;27;
22;Saint-Brieuc;47058;53;
24;Bergerac;28166;75;
24;Périgueux;31505;75;
25;Besançon;120107;27;
25;Montbéliard;26015;27;
26;Montélimar;39924;84;
26;Romans-sur-Isère;34095;84;
26;Valence;64322;84;
27;Évreux;51560;28;
28;Chartres;40195;24;
28;Dreux;31575;24;
29;Brest;142629;53;
29;Quimper;66743;53;
30;Alès;41129;76;
30;Nîmes;154196;76;
31;Colomiers;39200;76;
31;Muret;25961;76;
31;Toulouse;482738;76;
31;Tournefeuille;27008;76;
33;Bègles;28092;75;
33;Bordeaux;256045;75;
33;Gradignan;26029;75;
33;Libourne;25491;75;
33;Mérignac;71203;75;
33;Pessac;62737;75;
33;Saint-Médard-en-Jalles;31576;75;
33;Talence;44040;75;
33;La Teste-de-Buch;26525;75;
33;Villenave-d'Ornon;33091;75;
34;Agde;28120;76;
34;Béziers;77894;76;
34;Lunel;26263;76;
34;Montpellier;286098;76;
34;Sète;44271;76;
35;Rennes;222104;53;
35;Saint-Malo;47528;53;
36;Châteauroux;45780;24;
37;Joué-lès-Tours;37974;24;
37;Tours;139963;24;
38;Bourgoin-Jallieu;28399;84;
38;Échirolles;36143;84;
38;Grenoble;160836;84;
38;Saint-Martin-d'Hères;38974;84;
38;Vienne;30178;84;
40;Mont-de-Marsan;31517;75;
41;Blois;47524;24;
42;Roanne;35913;84;
42;Saint-Chamond;35969;84;
42;Saint-Étienne;174298;84;
44;Nantes;314611;52;
44;Orvault;26618;52;
44;Rezé;41808;52;
44;Saint-Herblain;47502;52;
44;Saint-Nazaire;72295;52;
44;Saint-Sébastien-sur-Loire;27591;52;
45;Orléans;118102;24;
47;Agen;34565;75;
49;Angers;155543;52;
49;Cholet;55772;52;
49;Saumur;28554;52;
49;Sèvremoine;26239;52;
50;Cherbourg-en-Cotentin;82578;28;
51;Châlons-en-Champagne;46288;44;
51;Reims;187074;44;
52;Saint-Dizier;25666;44;
53;Laval;52359;52;
54;Nancy;106953;44;
54;Vandœuvre-lès-Nancy;30502;44;
56;Lorient;58789;53;
56;Vannes;55573;53;
57;Metz;119856;44;
57;Thionville;41396;44;
58;Nevers;34799;27;
59;Armentières;25373;32;
59;Cambrai;33349;32;
59;Douai;40860;32;
59;Dunkerque;89485;32;
59;Lambersart;28027;32;
59;Lille;236782;32;
59;Marcq-en-Barœul;39697;32;
59;Maubeuge;29995;32;
59;Roubaix;96953;32;
59;Tourcoing;98170;32;
59;Valenciennes;44509;32;
59;Villeneuve-d'Ascq;63085;32;
59;Wattrelos;41570;32;
60;Beauvais;57548;32;
60;Compiègne;41660;32;
60;Creil;36091;32;
61;Alençon;27221;28;
62;Arras;41973;32;
62;Béthune;25753;32;
62;Boulogne-sur-Mer;42293;32;
62;Calais;75719;32;
62;Hénin-Beaumont;26260;32;
62;Lens;31080;32;
62;Liévin;31337;32;
63;Clermont-Ferrand;146112;84;
64;Anglet;39995;75;
64;Bayonne;51943;75;
64;Biarritz;25518;75;
64;Pau;79022;75;
65;Tarbes;41862;76;
66;Perpignan;123602;76;
67;Haguenau;35024;44;
67;Illkirch-Graffenstaden;27505;44;
67;Schiltigheim;32024;44;
67;Strasbourg;283515;44;
68;Colmar;71445;44;
68;Mulhouse;110468;44;
69;Bron;41589;84;
69;Caluire-et-Cuire;43546;84;
69;Décines-Charpieu;28249;84;
69;Lyon 1er Arrondissement;30423;84;
69;Lyon 2e Arrondissement;30857;84;
69;Lyon 3e Arrondissement;103506;84;
69;Lyon 4e Arrondissement;36524;84;
69;Lyon 5e Arrondissement;49998;84;
69;Lyon 6e Arrondissement;52282;84;
69;Lyon 7e Arrondissement;82651;84;
69;Lyon 8e Arrondissement;85610;84;
69;Lyon 9e Arrondissement;51313;84;
69;Meyzieu;33351;84;
69;Oullins;26838;84;
69;Rillieux-la-Pape;30275;84;
69;Saint-Priest;46153;84;
69;Vaulx-en-Velin;48906;84;
69;Vénissieux;65822;84;
69;Villefranche-sur-Saône;37783;84;
69;Villeurbanne;150375;84;
71;Chalon-sur-Saône;47085;27;
71;Mâcon;34448;27;
72;Le Mans;146804;52;
73;Aix-les-Bains;30377;84;
73;Chambéry;60872;84;
74;Annecy;130257;84;
74;Annemasse;35461;84;
74;Thonon-les-Bains;36296;84;
75;Paris;2210875;11;
76;Dieppe;30588;28;
76;Le Grand-Quevilly;26175;28;
76;Le Havre;172769;28;
76;Rouen;112596;28;
76;Saint-Étienne-du-Rouvray;29180;28;
76;Sotteville-lès-Rouen;29766;28;
77;Bussy-Saint-Georges;27299;11;
77;Chelles;54682;11;
77;Meaux;56249;11;
77;Melun;41183;11;
77;Pontault-Combault;38587;11;
77;Savigny-le-Temple;30352;11;
77;Villeparisis;26507;11;
78;Chatou;31653;11;
78;Le Chesnay;28558;11;
78;Conflans-Sainte-Honorine;36058;11;
78;Élancourt;25829;11;
78;Guyancourt;28839;11;
78;Houilles;32064;11;
78;Mantes-la-Jolie;44231;11;
78;Montigny-le-Bretonneux;33535;11;
78;Les Mureaux;32777;11;
78;Plaisir;32128;11;
78;Poissy;37524;11;
78;Rambouillet;26781;11;
78;Saint-Germain-en-Laye;41749;11;
78;Sartrouville;53237;11;
78;Trappes;32931;11;
78;Versailles;87315;11;
79;Niort;61044;75;
80;Amiens;136998;32;
81;Albi;51151;76;
81;Castres;42923;76;
82;Montauban;61978;76;
83;Draguignan;40928;93;
83;Fréjus;54023;93;
83;La Garde;25645;93;
83;Hyères;56799;93;
83;Saint-Raphaël;35826;93;
83;La Seyne-sur-Mer;65386;93;
83;Six-Fours-les-Plages;33904;93;
83;Toulon;171643;93;
84;Avignon;94200;93;
84;Carpentras;29498;93;
84;Cavaillon;26985;93;
84;Orange;29856;93;
85;La Roche-sur-Yon;56991;52;
86;Châtellerault;32887;75;
86;Poitiers;90590;75;
87;Limoges;135140;75;
88;Épinal;33454;44;
89;Auxerre;36804;27;
89;Sens;26688;27;
90;Belfort;49926;27;
91;Athis-Mons;34065;11;
91;Brétigny-sur-Orge;26702;11;
91;Brunoy;26520;11;
91;Corbeil-Essonnes;51682;11;
91;Draveil;29558;11;
91;Évry;55425;11;
91;Grigny;29118;11;
91;Massy;50549;11;
91;Palaiseau;34954;11;
91;Ris-Orangis;29040;11;
91;Sainte-Geneviève-des-Bois;36219;11;
91;Savigny-sur-Orge;36677;11;
91;Les Ulis;25031;11;
91;Vigneux-sur-Seine;31488;11;
91;Viry-Châtillon;30962;11;
91;Yerres;29132;11;
92;Antony;62989;11;
92;Asnières-sur-Seine;86678;11;
92;Bagneux;39977;11;
92;Bois-Colombes;28607;11;
92;Boulogne-Billancourt;120943;11;
92;Châtenay-Malabry;33413;11;
92;Châtillon;37132;11;
92;Clamart;53099;11;
92;Clichy;60746;11;
92;Colombes;86050;11;
92;Courbevoie;82351;11;
92;La Garenne-Colombes;29503;11;
92;Gennevilliers;46939;11;
92;Issy-les-Moulineaux;69231;11;
92;Levallois-Perret;64028;11;
92;Malakoff;30286;11;
92;Meudon;46014;11;
92;Montrouge;49372;11;
92;Nanterre;96321;11;
92;Neuilly-sur-Seine;61501;11;
92;Le Plessis-Robinson;29192;11;
92;Puteaux;44941;11;
92;Rueil-Malmaison;79783;11;
92;Saint-Cloud;30797;11;
92;Suresnes;49145;11;
92;Vanves;28148;11;
93;Aubervilliers;86533;11;
93;Aulnay-sous-Bois;85214;11;
93;Bagnolet;36047;11;
93;Le Blanc-Mesnil;56346;11;
93;Bobigny;52633;11;
93;Bondy;53416;11;
93;Clichy-sous-Bois;29978;11;
93;La Courneuve;42712;11;
93;Drancy;70883;11;
93;Épinay-sur-Seine;55754;11;
93;Gagny;39391;11;
93;Livry-Gargan;44721;11;
93;Montfermeil;26262;11;
93;Montreuil;109235;11;
93;Neuilly-sur-Marne;34859;11;
93;Noisy-le-Grand;67086;11;
93;Noisy-le-Sec;43693;11;
93;Pantin;55585;11;
93;Pierrefitte-sur-Seine;29728;11;
93;Romainville;26640;11;
93;Rosny-sous-Bois;45663;11;
93;Saint-Denis;112309;11;
93;Saint-Ouen;49949;11;
93;Sevran;50888;11;
93;Stains;39776;11;
93;Tremblay-en-France;35866;11;
93;Villemomble;30227;11;
93;Villepinte;36809;11;
94;Alfortville;44136;11;
94;Cachan;30524;11;
94;Champigny-sur-Marne;77883;11;
94;Charenton-le-Pont;30793;11;
94;Choisy-le-Roi;44781;11;
94;Créteil;90052;11;
94;Fontenay-sous-Bois;53968;11;
94;Fresnes;27556;11;
94;L' Haÿ-les-Roses;31416;11;
94;Ivry-sur-Seine;61099;11;
94;Le Kremlin-Bicêtre;25422;11;
94;Limeil-Brévannes;26901;11;
94;Maisons-Alfort;55816;11;
94;Nogent-sur-Marne;32195;11;
94;Le Perreux-sur-Marne;34017;11;
94;Saint-Maur-des-Fossés;75833;11;
94;Sucy-en-Brie;26575;11;
94;Thiais;29295;11;
94;Villejuif;55805;11;
94;Villeneuve-Saint-Georges;33135;11;
94;Villiers-sur-Marne;29407;11;
94;Vincennes;50300;11;
94;Vitry-sur-Seine;93317;11;
95;Argenteuil;112064;11;
95;Bezons;29216;11;
95;Cergy;64451;11;
95;Eaubonne;25514;11;
95;Ermont;29400;11;
95;Franconville;36349;11;
95;Garges-lès-Gonesse;42821;11;
95;Gonesse;26556;11;
95;Goussainville;31167;11;
95;Herblay;29614;11;
95;Pontoise;31880;11;
95;Sannois;27118;11;
95;Sarcelles;58332;11;
95;Taverny;26541;11;
95;Villiers-le-Bel;27519;11;
971;Les Abymes;54818;01;
971;Baie-Mahault;31338;01;
971;Le Gosier;27023;01;
972;Fort-de-France;82030;02;
972;Le Lamentin;40920;02;
973;Cayenne;60947;03;
973;Kourou;26726;03;
973;Matoury;32768;03;
973;Remire-Montjoly;26170;03;
973;Saint-Laurent-du-Maroni;44130;03;
974;Le Port;35141;04;
974;La Possession;33337;04;
974;Saint-André;56088;04;
974;Saint-Benoît;38466;04;
974;Saint-Denis;149337;04;
974;Saint-Joseph;38167;04;
974;Saint-Leu;34160;04;
974;Saint-Louis;53832;04;
974;Saint-Paul;106920;04;
974;Saint-Pierre;85059;04;
974;Sainte-Marie;33587;04;
974;Le Tampon;78366;04;
